,price,Address,area,Bedrooms,Bathrooms,Status,neworold,type_of_building,bhk
116,225.0,other,1000.0,2.0,2.0,Under Construction,New Property,Flat,2
117,84.6,other,1045.0,2.0,2.0,Under Construction,New Property,Flat,2
118,221.0,other,1330.0,2.0,2.0,Under Construction,New Property,Flat,3
119,126.0,other,1100.0,2.0,2.0,Under Construction,New Property,Flat,2
120,55.8,other,915.0,2.0,2.0,Under Construction,New Property,Flat,2
121,235.0,other,1210.0,2.0,3.0,Under Construction,New Property,Flat,2
122,320.0,other,961.0,2.0,3.0,Under Construction,New Property,Flat,2
123,383.0,other,1600.0,3.0,3.0,Under Construction,New Property,Flat,3
124,175.0,other,1050.0,2.0,2.0,Under Construction,New Property,Flat,2
125,145.0,other,900.0,2.0,2.0,Under Construction,Resale,Flat,2
126,201.0,other,1131.0,2.0,2.0,Under Construction,New Property,Flat,2
127,72.0,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",850.0,2.0,2.0,Under Construction,New Property,Flat,2
128,144.0,other,1000.0,2.0,2.0,Under Construction,New Property,Flat,2
129,151.0,other,727.0,2.0,2.0,Under Construction,New Property,Flat,1
130,350.0,other,806.0,2.0,2.0,Under Construction,New Property,Flat,2
131,465.0,other,1750.0,3.0,3.0,Ready to Move,Resale,Flat,3
132,150.0,other,1500.0,2.0,2.0,Under Construction,Resale,Flat,3
133,136.00000000000003,other,910.0,2.0,2.0,Under Construction,New Property,Flat,2
134,185.0,other,1000.0,2.0,2.0,Under Construction,Resale,Flat,2
135,85.0,other,974.0,2.0,2.0,Under Construction,New Property,Flat,2
136,250.0,other,800.0,2.0,2.0,Under Construction,New Property,Flat,2
137,600.0,other,1316.0,3.0,3.0,Under Construction,New Property,Flat,3
138,280.0,other,1513.0,3.0,3.0,Ready to Move,Resale,Flat,3
139,650.0,other,2300.0,4.0,5.0,Under Construction,Resale,Flat,5
140,120.0,other,860.0,2.0,2.0,Under Construction,New Property,Flat,2
141,655.9999999999999,other,1914.0,3.0,3.0,Under Construction,New Property,Flat,4
142,500.0,other,2303.0,3.0,3.0,Under Construction,Resale,Flat,5
143,289.0,other,1700.0,3.0,3.0,Under Construction,New Property,Flat,3
144,180.0,other,1157.0,2.0,2.0,Under Construction,New Property,Flat,2
145,550.0,other,1500.0,3.0,3.0,Under Construction,New Property,Flat,3
146,210.0,other,1050.0,2.0,2.0,Ready to Move,Resale,Flat,2
147,126.0,other,925.0,2.0,2.0,Under Construction,New Property,Flat,2
148,93.6,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",585.0,2.0,2.0,Under Construction,New Property,Flat,1
149,175.0,other,1075.0,2.0,2.0,Under Construction,New Property,Flat,2
150,92.2,other,1160.0,2.0,2.0,Under Construction,New Property,Flat,2
151,151.0,other,764.0,2.0,2.0,Under Construction,New Property,Flat,2
152,185.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",667.0,2.0,2.0,Under Construction,New Property,Flat,1
153,195.0,other,1030.0,2.0,2.0,Under Construction,New Property,Flat,2
154,119.0,other,1060.0,2.0,2.0,Under Construction,New Property,Flat,2
155,244.0,other,980.0,3.0,3.0,Under Construction,New Property,Flat,2
156,290.0,other,1670.0,3.0,3.0,Under Construction,Resale,Flat,3
157,280.0,other,1200.0,2.0,2.0,Under Construction,New Property,Flat,2
158,225.0,other,1250.0,3.0,3.0,Under Construction,New Property,Flat,2
159,265.0,other,1050.0,2.0,2.0,Ready to Move,New Property,Flat,2
160,180.0,other,998.0,2.0,2.0,Ready to Move,Resale,Flat,2
161,310.0,other,1156.0,2.0,2.0,Ready to Move,Resale,Flat,2
162,205.0,other,1350.0,2.0,2.0,Ready to Move,Resale,Flat,3
163,500.0,other,1400.0,3.0,3.0,Ready to Move,Resale,Flat,3
164,330.0,other,1000.0,2.0,2.0,Ready to Move,Resale,Flat,2
165,137.00000000000003,other,960.0,2.0,2.0,Under Construction,New Property,Flat,2
166,175.0,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",900.0,2.0,2.0,Ready to Move,Resale,Flat,2
167,470.0,other,1900.0,3.0,3.0,Ready to Move,New Property,Flat,4
168,160.0,other,1100.0,3.0,3.0,Ready to Move,New Property,Bungalow,2
169,210.0,other,1307.0,2.0,2.0,Ready to Move,Resale,Flat,3
170,265.0,other,1100.0,2.0,2.0,Ready to Move,Resale,Flat,2
171,350.0,other,1200.0,3.0,3.0,Ready to Move,New Property,Flat,2
172,285.0,other,1680.0,3.0,3.0,Ready to Move,Resale,Flat,3
173,250.0,other,1300.0,3.0,3.0,Ready to Move,New Property,Flat,3
174,220.0,other,1050.0,2.0,2.0,Ready to Move,Resale,Flat,2
175,550.0,other,2275.0,5.0,4.0,Ready to Move,Resale,Flat,5
176,265.0,other,1360.0,3.0,2.0,Ready to Move,Resale,Flat,3
177,225.0,other,850.0,2.0,2.0,Ready to Move,Resale,Flat,2
178,290.0,other,1430.0,3.0,3.0,Ready to Move,Resale,Flat,3
179,137.99999999999997,other,850.0,2.0,2.0,Under Construction,New Property,Flat,2
180,1000.0,other,5250.0,4.0,5.0,Ready to Move,Resale,Flat,10
181,800.0,other,1600.0,3.0,4.0,Ready to Move,Resale,Flat,3
182,525.0,other,1500.0,3.0,3.0,Ready to Move,New Property,Flat,3
183,255.0,other,1313.0,3.0,2.0,Ready to Move,Resale,Flat,3
184,618.0,other,2500.0,3.0,3.0,Ready to Move,Resale,Flat,5
185,380.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1157.0,2.0,2.0,Ready to Move,Resale,Flat,2
186,485.0,other,1100.0,3.0,3.0,Ready to Move,New Property,Flat,2
187,290.0,other,1550.0,3.0,3.0,Ready to Move,Resale,Flat,3
188,180.0,other,980.0,2.0,2.0,Ready to Move,Resale,Flat,2
189,1075.0,other,3000.0,4.0,6.0,Ready to Move,Resale,Flat,6
190,210.0,other,1100.0,3.0,3.0,Ready to Move,New Property,Flat,2
191,185.0,other,955.0,2.0,2.0,Ready to Move,Resale,Flat,2
192,470.0,other,1100.0,2.0,2.0,Ready to Move,Resale,Flat,2
193,1050.0,"Khar West, Mumbai - Western Suburbs, Maharashtra",2200.0,4.0,4.0,Ready to Move,Resale,Flat,4
194,560.0,"Chandivali, Mumbai - Central Line, Maharashtra",2700.0,6.0,4.0,Ready to Move,Resale,Flat,5
195,175.0,other,915.0,2.0,2.0,Ready to Move,Resale,Flat,2
196,380.0,other,2000.0,4.0,4.0,Ready to Move,Resale,Flat,4
197,143.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",875.0,2.0,2.0,Ready to Move,Resale,Flat,2
198,169.0,"Kandivali West, Mumbai - North Mumbai, Maharashtra",880.0,2.0,3.0,Ready to Move,Resale,Flat,2
199,175.0,other,1200.0,2.0,2.0,Ready to Move,Resale,Flat,2
200,242.0,other,1435.0,2.0,2.0,Ready to Move,Resale,Flat,3
201,350.0,other,1650.0,3.0,3.0,Ready to Move,Resale,Flat,3
202,185.0,other,1046.0,2.0,2.0,Ready to Move,Resale,Flat,2
203,159.0,other,1104.0,2.0,2.0,Ready to Move,Resale,Flat,2
204,385.0,other,1150.0,2.0,2.0,Ready to Move,New Property,Flat,2
205,275.0,other,1150.0,2.0,2.0,Ready to Move,Resale,Flat,2
206,1750.0,other,1800.0,4.0,5.0,Ready to Move,Resale,Flat,4
207,135.0,other,850.0,3.0,2.0,Ready to Move,Resale,Flat,2
208,499.0,other,1850.0,4.0,4.0,Ready to Move,New Property,Flat,4
209,125.0,other,850.0,2.0,2.0,Ready to Move,Resale,Flat,2
210,220.0,other,1250.0,2.0,2.0,Ready to Move,New Property,Flat,2
211,220.0,"Goregaon East, Mumbai - Western Suburbs, Maharashtra",1250.0,2.0,2.0,Ready to Move,Resale,Flat,2
212,195.0,other,1296.0,3.0,2.0,Ready to Move,Resale,Flat,3
213,215.0,other,1200.0,2.0,2.0,Ready to Move,Resale,Flat,2
214,280.0,other,1150.0,2.0,3.0,Ready to Move,Resale,Flat,2
215,290.0,other,1565.0,3.0,2.0,Ready to Move,Resale,Flat,3
216,220.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1150.0,2.0,2.0,Under Construction,Resale,Flat,2
217,325.0,"Malad West, Mumbai - Western Suburbs, Maharashtra",1755.0,3.0,4.0,Under Construction,Resale,Flat,4
218,225.0,other,1304.0,2.0,2.0,Ready to Move,Resale,Flat,3
219,480.0,other,2175.0,3.0,4.0,Ready to Move,Resale,Flat,4
220,400.0,other,1000.0,2.0,3.0,Ready to Move,Resale,Flat,2
221,330.0,other,1200.0,2.0,2.0,Ready to Move,Resale,Bungalow,2
222,145.0,other,811.0,2.0,2.0,Ready to Move,Resale,Flat,2
223,1800.0,"Juhu, Mumbai - Western Suburbs, Maharashtra",3500.0,4.0,5.0,Ready to Move,New Property,Flat,7
224,120.0,other,810.0,2.0,2.0,Ready to Move,Resale,Flat,2
225,190.0,other,700.0,2.0,2.0,Ready to Move,New Property,Flat,1
226,253.0,"Malad West, Mumbai, Malad West, Mumbai - Western Suburbs, Maharashtra",1450.0,3.0,3.0,Ready to Move,New Property,Flat,3
227,180.0,other,1296.0,3.0,3.0,Ready to Move,Resale,Flat,3
228,900.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",2300.0,4.0,4.0,Ready to Move,New Property,Flat,5
229,190.0,"Malad West, Mumbai, Malad West, Mumbai - Western Suburbs, Maharashtra",1150.0,2.0,2.0,Ready to Move,Resale,Flat,2
230,170.0,other,980.0,3.0,2.0,Ready to Move,Resale,Bungalow,2
231,144.0,other,890.0,2.0,2.0,Ready to Move,Resale,Flat,2
232,165.0,other,1029.0,2.0,2.0,Ready to Move,Resale,Flat,2
233,300.0,other,1400.0,3.0,3.0,Ready to Move,Resale,Flat,3
234,220.0,other,1136.0,2.0,2.0,Ready to Move,Resale,Flat,2
235,185.0,other,998.0,2.0,2.0,Ready to Move,Resale,Flat,2
236,430.99999999999994,other,4200.0,5.0,5.0,Ready to Move,Resale,Flat,8
237,530.0,other,2664.0,3.0,4.0,Ready to Move,Resale,Flat,5
238,92.5,other,1026.0,2.0,2.0,Ready to Move,New Property,Flat,2
239,150.0,other,740.0,2.0,2.0,Ready to Move,Resale,Flat,1
240,275.0,other,1220.0,2.0,2.0,Ready to Move,Resale,Flat,2
241,265.0,other,750.0,2.0,2.0,Under Construction,Resale,Flat,1
242,202.0,other,1050.0,3.0,2.0,Ready to Move,Resale,Flat,2
243,700.0,"Parel, Mumbai - South Mumbai, Maharashtra",1800.0,4.0,4.0,Ready to Move,Resale,Flat,4
244,265.0,other,840.0,2.0,2.0,Ready to Move,Resale,Flat,2
245,650.0,other,1539.0,3.0,3.0,Ready to Move,Resale,Flat,3
246,56.0,other,1250.0,2.0,2.0,Ready to Move,Resale,Flat,2
247,180.0,other,998.0,2.0,2.0,Ready to Move,Resale,Flat,2
248,250.0,other,1000.0,2.0,2.0,Ready to Move,Resale,Flat,2
249,128.0,other,890.0,2.0,2.0,Ready to Move,Resale,Flat,2
250,200.0,other,862.0,2.0,2.0,Ready to Move,Resale,Flat,2
251,240.0,other,1143.0,2.0,2.0,Ready to Move,Resale,Flat,2
